"COUNTY: AITKIN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Aitkin","Libby",487,453,35,6.3
"Big Pine","Cutler",614,259,78,11.5
"Big Sandy","McGregor",6526,3067,84,5
"Birch","Aitkin",421,421,8,3
"Blind","Aitkin",370,359,17,6
"Cedar","McGrath",232,215,18,2.5
"Cedar","Aitkin",1769,405,105,5.8
"Clear","Glen",562,363,24,15.5
"Dam","Aitkin",642,256,48,10.5
"Elm Island","Aitkin",522,389,25,"n/a"
"Esquagamah","Palisade",853,520,31,4
"Fleming","Palisade",296,290,15,"n/a"
"Flowage","McGregor",705,"n/a",8,2
"Farm Island","Bennettville",2054,883,56,11
"Gun","Palisade",730,292,44,7.5
"Hammal","Aitkin",374,262,44,10
"Hanging Kettle","Aitkin",302,142,35,"n/a"
"Hill","Hill City",907,354,48,7.6
"Island","Tamarack",243,194,25,6.5
"Little Pine","Aitkin",220,103,44,12.9
"Lone","Aitkin",448,148,60,25.8
"Long","Glen",415,120,116,"n/a"
"Mallard","Aitkin",417,417,5,"n/a"
"Minnewawa","McGregor",2512,2286,21,3
"Nord","Aitkin",412,272,29,10.5
"Portage","McGregor",316,313,18,6
"Rabbit","Glen",214,77,51,8
"Rat","Palisade",405,389,21,5.5
"Ripple","Aitkin",556,295,39,"n/a"
"Rock","McGregor",317,317,13,4.8
"Round","Tamarack",577,375,27,"n/a"
"Round","Aitkin",633,475,59,"n/a"
"Round","Garrison",767,322,125,"n/a"
"Sissabagama","Aitkin",365,219,37,6.5
"South Big Pine","Finlayson",372,96,28,9
"Spirit","Bennettville",530,260,49,12
"Sugar","Glen",398,267,45,13
"Swamp","Glen",273,273,5,4
"Thornton","Deerwood",216,203,21,9
"Vanduse","Palisade",230,189,27,"n/a"
"Waukenabo","Palisade",644,292,38,5.5
"White Elk","Swatara",854,"n/a",4,4
"Wilkins","Palisade",372,106,39,"n/a"
"Return to the top",,,,,
"COUNTY: ANOKA",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Centerville","Centerville",455,276,19,3.2
"Coon"," ",1259,1098,27,6.75
"George","St Francis",495,391,32,13.75
"Ham","Ham Lake",174,160,22,6.8
"Linwood","Wyoming",559,475,42,4
"Martin","Wyoming",234,140,20,1.5
"Peltier","Centerville",465,412,18,2.8
"Reshanau","Centerville",336,336,16,"n/a"
"Rice","Lino Lakes",442,442,5,"n/a"
"Round","Anoka",266,266,15,"n/a"
"Return to the top",,,,,
"COUNTY: BECKER",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Abbey","Detroit Lakes",269,269,7,"N/A"
"Bad Medicine","Ponsford",799,288,84,20
"Beseau","Lake Park",226,120,27,12
"Big Cormorant","Audubon",3421,812,75,10
"Big Rush","Ponsford",917,917,9,6.5
"Big Sugar Bush","Richwood",472,297,42,14.5
"Birch","Callaway",233,"N/A",25,5
"Boot","Two Inlets",348,81,109,16
"Boyer","Lake Park",310,204,26,5.5
"Buffalo","Richwood",376,192,38,"N/A"
"Cotton","Rochert",1720,781,28,13.5
"Dead","Frazee",274,249,19,1.8
"Detroit","Detroit Lakes",3083,1895,89,7.3
"Eagle","Frazee",308,141,29,7.2
"Elbow","Waubun",1001,200,76,15
"Eunice","Audubon",325,187,30,14.8
"Floyd","Detroit Lakes",1212,861,34,12
"Forget-Me-Not","Lake Park",361,361,7,0.8
"Height of Land","Detroit Lakes",3520,3190,21,7.5
"Hungry","Frazee",240,180,60,9.7
"Ice Cracking","Ponsford",331,80,73,14.2
"Ida","Lake Park",580,435,20,7
"Island","Snellman",1142,457,38,10.5
"Juggler","Ponsford",365,149,78,17
"Leif","Audubon",488,316,26,6
"Little Bemidji","Ponsford",275,59,58,15.5
"Little Cormorant","Audubon",924,619,34,11.5
"Little Floyd","Detroit Lakes",205,95,34,15
"Little Sugar Bush","Richwood",202,99,29,12.2
"Little Toad","Frazze",345,107,65,15.5
"Long","Detroit Lakes",357,152,61,14
"Many Point","Ponsford",1737,565,92,10.5
"Maud","Audubon",547,300,32,10
"Melissa","Detroit Lakes",1831,934,43,6.6
"Middle Cormorant","Lake Park",360,144,40,11.5
"Nelson","Lake Park",241,236,16,7
"Net","White Earth",213,134,47,6.5
"Pearl","Detroit Lakes",237,168.2,54,7
"Pickerel","Detroit Lakes",332,123,74,17.7
"Rock","Detroit Lakes",1048,1001,18,4
"Rossman","Lake Park",241,232,20,7
"Round","Ponsford",1087,473,69,10
"Sallie","Detroit Lakes",1246,577,50,6
"Sauer","Detroit Lakes",212,84,39,11.5
"Shell","Snellman",3140,3070,16,4
"South Stake","Lake Park",450,450,15,1.8
"Stinking","Lake Park",370,370,7,1.3
"Straight","Osage",423,178,63,7
"Strawberry","White Earth",1522,563,40,18
"Tamarack","Rochert",1431,1389,17,3.5
"Toad","Osage",1666,561,29,7.5
"Upper Cormorant","Lake Park",856,471,29,3.9
"Waboose","Ponsford",232,231.5,14,11
"White Earth","White Earth",2079,599,120,14.5
"Wolf","Wolf Lake",1445,1445,16,"N/A"
"Return to the top",,,,,
"COUNTY: BELTRAMI",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Andrusia","Cass Lake",1510,423,60,10
"Balm","Solway",512,282,33,11
"Beltrami","Bemidji",543,300,50,11
"Bemidji","Bemidji",6420,1862,76,6
"Big","Bemidji",3533,2106,35,13
"Big Bass","Bemidji",380,315,17,"n/a"
"Big Moose","Pennington",568,241,71,13
"Big Turtle","Bemidji",1436,718,45,8
"Big Wolf","Bemidji",1094,390,57,9.5
"Black","Turtle River",246,125,42,"N/A"
"Blackduck","Blackduck",2596,1374,28,3
"Boot","Bemidji",267,203,30,8.5
"Buck","Cass Lake",271,68,40,16
"Campbell","Puposky",475,222,25,"N/A"
"Cass","Cass Lake",15596,3119,120,"N/A"
"Clearwater","Leonard",1008,339,65,10.5
"Deer","Bemidji",262,118,42,"N/A"
"Gilstad","Blackduck",294,112,55,8.8
"Grant","Wilton",208,85,92,11
"Irving","Bemidji",613,546,19,4
"Julia","Puposky",450,167,43,7
"Kitchi","Pennington",1785,714,50,8
"Little Bass","Bemidji",343,288,22,15
"Little Turtle","Puposky",464,302,25,7
"Long","Turtle River",396,180.5,87,16.5
"Long","Puposky",719,683,18,9.5
"Marquette","Bemidji",504,285,51,"N/A"
"Medicine","Tenstrike",446,308,44,5.9
"Movil","Bemidji",923,513,50,6.25
"North Twin","Turtle River",313,138,59,16
"Pimushe","Pennington",1268,654,40,5.8
"Poposky","Bemidji",2142,2035,20,"N/A"
"Rabideau","Blackduck",577,515,112,14
"Sandy","Tenstrike",260,200,32,5.3
"Swenson","Bemidji",388,136,76,17.5
"Three Island","Turtle River",678,635,25,7.75
"Turtle River","Turtle River",1740,688,63,10
"Upper Red","Waskish",107832,"N/A",18,"N/A"
"Return to the top",,,,,
"COUNTY: BENTON",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Little Rock","Rice",1450,1392,23,1.5
"Mayhew","Mayhew",131,66,20,5.5
"Return to the top",,,,,
"COUNTY: BIG STONE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Artichoke","Correll",1964,1964,15.5,3.3
"Big Stone","Ortonville",12610,12484,16,14.75
"Marsh","Correll",4500,4500,5,0.6
"Return to the top",,,,,
"COUNTY: BLUE EARTH",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Ballantyne","Madison Lake",350,301,58,3
"Cottonwood","Beauford",310,"N/A",5,1.5
"Duck","Madison Lake",290,231,25,4
"Eagle","Madison Lake",914,914,9,1.5
"George","Madison Lake",80,60,28,1.3
"Gilfillan","Madison Lake",179,179,2,"N/A"
"Loon","Lake Crystal",808,755,7,1
"Lura","Mapleton",1224,1224,9,"N/A"
"Madison","Madison Lake",1113,722,59,4
"Perch","Beauford",310,"N/A",5,1.5
"Strom","Butternut",308,308,3,"N/A"
"Wilta","Mankato",474,474,6,"N/A"
"Return to the top",,,,,
"COUNTY: BROWN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Hanska","Hanska",1773,1773,16,"N/A"
"Sleepy Eye","Mankato",277,203,21,2.5
"Return to the top",,,,,
"COUNTY: CARLTON",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Bear","Barn Lake Area",91,70,31,8.2
"Big","Sawyer",507,440,25,13.5
"Hanging Horn","Barnum",408,86,80,8.8
"Hay","Wrenshal",215,214,16,"n/a"
"Island North","Cromwell",101,87,25,5.5
"Island South","Cromwell",281,207,22,4.5
"Moosehead","Moose Lake",292,261,18,4
"Park","Mahtowa",375,375,16,9.25
"Tamarack","Wright",228,176,48,5
"Return to the top",,,,,
"COUNTY: CARVER",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Auburn","Victoria",261,158,37,7.9
"Bavaria","Victoria",162,65,66,5
"Lotus","Chanhassen",246,182,29,"n/a"
"Lucy","Chanhassen",92,86,20,5
"Minnewashta","Chanhassen",738,"n/a",70,13.5
"Parley","Waconia",242,231,18,6
"Pierson","Victoria",235,119,40,5.4
"Riley","Chanhassen",297,109,49,2.7
"Schutz","Victoria",105,40,49,"n/a"
"Virginia","Victoria",110,30,34,10.5
"Waconia","Waconia",2996,1660,37,4
"Wassermann","Victoria",153,112,41,2
"Zumbra","Victoria",162,89,58,7.25
"Return to the top",,,,,
"COUNTY: CASS",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Ada","Backus",974,424,60,15
"Baby","Hackensack",705,248,69,10.2
"Big Portage","Backus",918,901,23,7.2
"Big Rice","Remer",2832,2832,5,5
"Big Sand","Remer",736,635,23,8
"Birch","Hackensack",1284,755,45,7.7
"Birch","Remer",255,51,30,10
"Blackwater","Longville",722,336,67,13.7
"Boy","Boy River",3186,2007,45,6.5
"Cass","Cass Lake",15596,3119,120,"n/a"
"Child","Longville",316,158,29,10
"Five Point","Hackensack",219,88,37,6
"George","Outing",720,711,20,4.5
"Girl","Longville",406,272,81,10
"Gull","Nisswa",9947,2825,80,10.5
"Gull, Upper","Nisswa",422,154,54,7.5
"Hand","Backus",269,140,57,12
"Hay","Backus",350,179,56,11.6
"Horsehoe","Backus",225,80,51,11
"Inguadona","Longville",1116,565,79,12
"Lake Thirteen","Cass Lake",470,329,50,10
"Leech","Walker",111527,57994,150,"n/a"
"Lind","Backus",377,249,27,10
"Little Bass","Outing",112,67,30,"n/a"
"Little Boy","Longville",1372,466,74,10.8
"Little Sand","Remer",403,403,12,7
"Little Vermillion","Remer",133,74,55,"n/a"
"Long","Longville",926,356,115,12
"Lower Sucker","Cass Lake",585,301,35,7
"Man","Hackensack",445,45,93,11.2
"Mule","Longville",456,182,47,15.5
"Ox Yoke","Backus",166,88,42,12
"Pike","Cass Lake",4760,2238,95,"n/a"
"Pine Mountain","Backus",1567,737,80,7.3
"Pleasant","Hackensack",1038,410,72,13
"Ponto","Backus",347,102,60,17
"Roosevelt","Outing",1585,390,129,15.5
"Six Mile","Bena",1288,606,68,8.3
"Steamboat","Cass Lake",1775,532,93,10
"Stony","Hackensack",595,178,50,22
"Sugar","Remer",664,325,44,3.4
"Ten Mile","Hackensack",4669,1316,208,15.5
"Thunder Lake","Remer",1330,226,95,20
"Town Line","Longville",510,510,11,10.5
"Trelipe (Lower)","Longville",602,355,32,6
"Trelipe (Upper)","Longville",409,143,69,12.5
"Vermillion","Remer",397,230,27,8
"Wabedo","Longville",1185,295,95,13.5
"Washburn","Outing",1554,748,111,12.5
"Webb","Hackensack",754,278,84,16
"Winnibigoshish","Deer River",58544,18904,70,"n/a"
"Woman","Longville",4782,1953,54,7
"Return to the top",,,,,
"COUNTY: CHISAGO",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Center (North)","Center City",725,608,46,1.7
"Center (South)","Lindstrom",835,561,109,3.6
"Chisago City","Chisago",873,695,34,"n/a"
"Comfort","Wyoming",219,90,47,3.8
"Fish","Harris",306,141,57,10
"Goose","Stark",754,370,55,5.8
"Green","Chisago City",1714,1228,32,7
"Horseshoe","Harris",197,112,53,6
"Kroon","Lindstrom",192,150,30,6.2
"Lindstrom (North)","Lindstrom",137,55,29,3.5
"Lindstrom (South)","Lindstrom",499,208,34,"n/a"
"Linn","Lindstrom",180,180,15,0.6
"Little","Center City",159,124,23,3.4
"Rush (East)","Rush City",1359,1033,24,2.4
"Rush (West)","Rush City",1464,862,42,3.1
"Sunrise","Lindstrom",742,712,21,2.7
"Return to the top",,,,,
"COUNTY: CLAY",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Doran","Hawley",112,"N/A",7,2.5
"Fifteen","Hawley",139,99,22,8
"Goose Prairie","Hitterdahl",122,"N/A",5,"N/A"
"Lee","Hawley",134,86,36,6
"Marin","Hawley",108,"N/A",9,1.5
"Meyer","Hitterdahl",108,"N/A",7,1.5
"Silver","Hawley",114,36,39,6
"Three","Hawley",105,"N/A",14,1.5
"Tilde","Hitterdahl",259,259,13,2
"Return to the top",,,,,
"COUNTY: CLEARWATER",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Elk","Lake Itasca",271,73,93,13.7
"Heart","Zerkel",206,54,55,24.1
"Itasca","Lake Itasca",1077,449,40,5
"Long Lost","Zerkel",390,275,63,18
"Minerva","Alida",236,218,16,9
"Pine","Gonvick",1188,1188,15,6.5
"Upper Lasalle","Lake Itasca",221,40,48,8
"Upper Rice","Shevlin",1689,1689,13,"N/A"
"Return to the top",,,,,
"COUNTY: COOK",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Ball Club","Grand Marais",196,159,25,9
"Bouder","Grand Marais",136,133,17,"N/A"
"Brule","Grand Marais",4617,1431,78,15
"Caribou","Lutsen",728,439,30,8.5
"Caribou","Grand Marais",255,204,26,7
"Cascade","Lutsen",415,415,17,8
"Crescent","Grand Marais",744,558,28,11
"Devil Track","Grand Marais",1838,626,50,"N/A"
"Elbow","Grand Marais",437,437,9,4.5
"Elbow","Tofte",516,382,23,7
"Four Mile","Tofte",572,559,19.5,7.5
"Greenwood","Grand Marais",2021,537,112,14.5
"Homer","Lutsen",443,400,22,6.4
"Mcfarland","Hovland",384,203,49,15.5
"Northern Light","Grand Marais",433,433,7.5,6
"Pike","Grand Marais",810,218,45,17.5
"Sea Gull","Grand Marais",4032,927,145,11.5
"Tom","Hovland",576,334,35,7.5
"Trout","Grand Marais",257,59,77,17
"Two Island","Gran Marais",731,702,27,9
"White Pine","Lutsen",342,342,10,4.1
"Return to the top",,,,,
"COUNTY: COTTONWOOD",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Augusta","Storden",470,470,4,1
"Bingham","Bingham Lake",259,259,10,6
"Double","Storden",246,246,9,2
"Mountain","Mountain Lake",241,241,8,2
"Talcot","Dundee",678,678,6,1
"Return to the top",,,,,
"COUNTY: CROW WING",,,,,
"Anna","Emily",122,102,19,12
"Bass","Jenkins",116,67,47,19
"Bass","Merrifield",309,185,24,8
"Bass","Merrifield",433,394,38,13
"Bass","Nisswa",36,32,18,15
"Bass","Outing",213,43,55,20
"Bay","Deerwood",2392,1005,74,14
"Bertha","Jenkins",334,142,64,10.5
"Big Rabbit(East)","Cuyuna",638,242,337,16
"Big Rabbit(West)","Cuyuna",531,165,50,13
"Big Trout","Cross Lake",1342,369,128,11
"Borden","Garrison",957,304,84,9
"Camp","Pine Center",478,206,42,3.5
"Clark","Nisswa",343,264,31,12
"Clear","Jenkins",220,59,63,19
"Clearwater","Deerwood",900,252,54,12
"Cross","Cross Lake",1751,879,84,12
"Crow Wing","Ft Ripley",382,210,26,10
"Cullen (Lower)","Nisswa",512,180,39,11
"Cullen (Middle)","Nisswa",382,127,48,14.5
"Cullen (Upper)","Nisswa",435,300,40,16
"Dolney","Emily",271,268,16,11
"Eagle","Deerwood",239,65,44,4.9
"Eagle","Fifty Lakes",358,190,36,15.8
"Edward","Merrifield",2032,1198,75,9.5
"Emily","Emily",664,664,13,6
"Fox (East)","Fifty Lakes",239,101,65,18
"Fox (West)","Fifty Lakes",472,138,55,17
"Gladstone","Nisswa",437,244,26,14
"Gull","Nisswa",9947,2825,80,10.5
"Gull - Upper","Nisswa",422,154,54,7.5
"Hamlet","Deerwood",276,99,88,13
"Hay (Lower)","Jenkins",685,215,100,11
"Hay (Upper)","Jenkins",581,184,42,5
"Hubert","Nisswa",1294,465,83,14
"Kego","Fifty Lakes",272,"n/a",20,12
"Little Emily","Outing",111,89,26,8
"Little Hubert","Nisswa",185,161,41,10
"Little Pelican","Breezy Point",283,206,34,18
"Little Pine","Cross Lake",387,225,36,9
"Long (North)","Merrifield",5998,3905,97,15.3
"Mary","Emily",380,126,34,4
"Mayo","Pequot Lakes",155,147,22,7
"Mission (Lower)","Merrifield",698,452,27,"n/a"
"Mission (Upper)","Merrifield",817,256,36,14
"Mitchell","Emily",439,118,78,8
"Nelson","Deerwood",310,310,12,3
"Nokay","Brainerd",660,218,42,8
"Pelican","Breezy Point",8253,3910,104,19.5
"Pine","Cross Lake",390,387,18,10
"Platte","Sullivan",1746,1694,23,5
"Pointon","Ironton",171,171,14,9.5
"Red Sand","Brainerd",502,502,23,12
"Rice Lake","Brainerd",202,202,25,6.1
"Roosevelt","Outing",1585,390,129,15.5
"Ross","Emily",487,317,30,3.5
"Round","Nisswa",1650,627,51,8
"Round","Ft Ripley",137,137,13,5
"Roy","Nisswa",271,129,26,17
"Ruth","Emily",588,200,39,21
"Serpent","Deerwood",1057,338,65,10
"Smith","Garrison",441,181,54,13.5
"South Long (Lower)","Brainerd",1313,461,47,9
"South Long (Upper)","Brainerd",802,283,47,7
"Stark","Emily",215,"n/a",66,8
"Upper Dean","Emily",285,214,24,6.5
"Whitefish","Cross Lake",7370,2713,138,9
"Whitefish","Garrison",696,428,62,13.5
"Return to the top",,,,,
"COUNTY: DAKOTA",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Byllesby","Cannon Falls",1435,976,50,2.6
"Crystal","Lakeville",280,208,37,2.8
"Marion","Lakeville",560,454,21,10.5
"Orchard","Lakeville",234,177,33,8.8
"Return to the top",,,,,
"COUNTY: DOUGLAS",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Aaron","Millerville",545,417,16,8
"Agnes","Alexandria",137,59,31,6
"Andrew","Alexandria",946,331,83,9
"Anka","Ashby",139,139,10,"N/A"
"Big Chippewa","Brandon",1186,505,95,7
"Blackwell","Holmes City",307,199,42,6
"Brophy","Alexandria",289,150,44,11.5
"Carlos","Alexandria",2520,910,163,10
"Charlie","Alexandria",127,127,33,10
"Christina","Ashby",3978,3978,14,2.5
"Cowdry","Alexandria",238,88,52,12.2
"Crooked","Holmes City",153,98,35,7
"Darling","Alexandria",954,477,62,9
"Devils","Brandon",221,150,35,7.5
"Echo","Holmes City",107,74,40,4.5
